kin E	MS
 213	 699.410705566406
 214	 702.002990722656
 215	 704.588012695312
 216	 707.165832519531
 217	 709.736450195312
 218	 712.299865722656
 219	 714.856140136719
 220	 717.405151367187
 221	 719.947021484375
 222	 722.481689453125
 223	 725.009216308594
 224	 727.529541015625
 225	 730.042724609375
 226	 732.548767089844
 227	 735.047729492187
 228	 737.539489746094
 229	 740.024169921875
 230	 742.501708984375
 231	 744.97216796875
 232	 747.435485839844
 233	 749.891723632812
 234	 752.340942382812
 235	 754.783020019531
 236	 757.218017578125
 237	 759.64599609375
 238	 762.06689453125
 239	 764.480712890625
 240	 766.887573242187
 241	 769.287292480469
 242	 771.680053710938
 243	 774.065795898437
 244	 776.444519042969
 245	 778.816223144531
 246	 781.180969238281
 247	 783.538696289063
 248	 785.889465332031
 249	 788.233215332031
 250	 790.570068359375
 251	 792.89990234375
 252	 795.222839355469
 253	 797.538757324219
 254	 799.847778320313
 255	 802.14990234375
 256	 804.445068359375
 257	 806.733337402344
 258	 809.0146484375
 259	 811.289123535156
 260	 813.556640625
 261	 815.817321777344
 262	 818.071105957031
 263	 820.318054199219
 264	 822.55810546875
 265	 824.791320800781
 266	 827.017700195312
 267	 829.237182617188
 268	 831.449890136719
 269	 833.65576171875
 270	 835.854797363281
 271	 838.046997070313
 272	 840.232421875
 273	 842.411071777344
 274	 844.582946777344
 275	 846.747985839844
 276	 848.90625
 277	 851.057800292969
 278	 853.202575683594
 279	 855.340576171875
 280	 857.471862792969
 281	 859.596374511719
 282	 861.714172363281
 283	 863.825256347656
 284	 865.929626464844
 285	 868.027282714844
 286	 870.118225097656
 287	 872.202514648438
 288	 874.280090332031
 289	 876.351013183594
 290	 878.415222167969
 291	 880.472778320313
 292	 882.523742675781
 293	 884.567993164063
 294	 886.605651855469
 295	 888.636596679687
 296	 890.661010742188
 297	 892.678771972656
 298	 894.689880371094
 299	 896.694458007813
 300	 898.6923828125
 301	 900.683715820312
 302	 902.668518066406
 303	 904.646728515625
 304	 906.618347167969
 305	 908.583435058594
 306	 910.5419921875
 307	 912.493957519531
 308	 914.439392089844
 309	 916.378295898438
 310	 918.310729980469
 311	 920.236633300781
 312	 922.156005859375
 313	 924.06884765625
 314	 925.975219726563
 315	 927.875122070313
 316	 929.7685546875
 317	 931.655517578125
 318	 933.536010742188
 319	 935.410034179687
 320	 937.277648925781
 321	 939.138793945313
 322	 940.993530273438
 323	 942.841796875
 324	 944.683654785156
 325	 946.519165039063
 326	 948.348205566406
 327	 950.1708984375
 328	 951.987182617187
 329	 953.797058105469
 330	 955.6005859375
 331	 957.397766113281
 332	 959.188537597656
 333	 960.973022460938
 334	 962.751098632813
 335	 964.522888183594
 336	 966.288330078125
 337	 968.047424316406
 338	 969.800231933594
 339	 971.546752929687
 340	 973.286926269531
 341	 975.020874023438
 342	 976.748474121094
 343	 978.469848632813
 344	 980.184936523438
 345	 981.893737792969
 346	 983.596313476563
 347	 985.292602539063
 348	 986.982666015625
 349	 988.666564941406
 350	 990.344177246094
 351	 992.015563964844
 352	 993.680786132813
 353	 995.339721679688
 354	 996.992553710938
 355	 998.63916015625
 356	 1000.27960205078
 357	 1001.91381835937
 358	 1003.54193115234
 359	 1005.16387939453
 360	 1006.77966308594
 361	 1008.38928222656
 362	 1009.99279785156
 363	 1011.59014892578
 364	 1013.18139648437
 365	 1014.76654052734
 366	 1016.34558105469
 367	 1017.91851806641
 368	 1019.4853515625
 369	 1021.04608154297
 370	 1022.60076904297
 371	 1024.1494140625
 372	 1025.69201660156
 373	 1027.228515625
 374	 1028.75891113281
 375	 1030.28332519531
 376	 1031.8017578125
 377	 1033.31408691406
 378	 1034.82043457031
 379	 1036.32067871094
 380	 1037.81506347656
 381	 1039.30334472656
 382	 1040.78576660156
 383	 1042.26208496094
 384	 1043.732421875
 385	 1045.19689941406
 386	 1046.65539550781
 387	 1048.10791015625
 388	 1049.55444335937
 389	 1050.9951171875
 390	 1052.42980957031
